0DA18A10|Acrobat Mission|5DE=42FB
F194D00A|Aero Fighters|26D=42
124D8E4D|Aladdin|BC89=DBE2
98E2AC15|Alien 3 (U)|F80A1=EAEA,F814E=EAEA,F8123=EAEA,F8166=EAEA,F80A6=EAEA,F81A8=EAEA,A5E5=42FB,A629=42F8,BAD8=42DB 
1B83C440|Bahamut Lagoon (J)|3007E=EAEA,1A0072=42FA,1580B4=42FC,1A67FB=EAEAEAEA
53D8410E|Bio Metal|231=42
2D1DD10A|Black Hawk (E)|83A1=EAEA,83BC=EAEA,83D2=EAEA,8E8A=EAEA,8EA6=EAEA,8ECF=EAEA,8EE7=EAEA,8F0B=EAEA,8F37=EAEA,8F6E=EAEA,8F81=EAEA,9E=42DB,DC=42DB
C788B696|Breath of Fire (U)|D3=DBDD
7C4887E1|Castlevania - Dracula X|CE=4284,2B12=EAEA,29B2=EAEA
AE93B9CA|CHRONO~1|703E5=80,7042A=80,70478=80,704EE=EAEAEA,704FA=EAEAEA,705D9=80,31A12=80,31343=EAEA,30720=EAEAEA,307B8=EAEAEA,307C7=EAEA,28D7E=EAEAEA,2034A=42FC,EC74=42DB,3DEAEF=42FC
2D206BF7|Chrono Trigger (U)|70478=80,703E5=80,7042A=80,704F8=80,705d9=80,7069B=80,2034A=42FC,EC74=42DB,3DEAEF=42FC,7094B=80,D3E47=DBAB,D3B98=42D8,11C47=42D3
84DA7CFE|Contra III - The Alien Wars (U)|16A=428A 
C946DCA0|Donkey Kong Country (V1.0) (U)|AB209=EAEA
3EAA5697|Donkey Kong Country (V1.1) (U)|AB209=EAEA
448EEC19|Donkey Kong Country 3 - Dixie K|32848C=EAEA
98A96AE8|Double Dragon V (U)|80C1=42D9,4D9D8=4299,4AEC7=42DB,4DAE4=4299,287C1=42FC,4DD20=42F2,4AD5D=42DB,4DE77=42F9,4AF05=42FB,4AEE6=42FB,49C4A=42F9,4821F=42F9
80C078FF|Dragon Quest 1 & 2 (T)|0=D87818FB,78FA=EAEA,7901=EAEA,7908=EAEA,790F=EAEA,5BD=42DC
DC9BB451|Earthbound (U)|AB93=EAEA,281D=EAEA,83A2=800E1A8FF07F32CFF07F3080,A12D=80,1FFE7=EAA90000,3FDD6=EAA9000080,8762=42FB
23084FCD|Final Fantasy II (U) (V1.1)|F24=42DC,F15=42DC,BED=42,10524=42
65D0A825|Final Fantasy II (U) (V1.0)|F24=42DC,F15=42DC,BED=42,10524=42
C0FA0464|Final Fantasy 3 (V1.1) (U)|28236=42DC,B7A3=EAEA,568=42FC,B80A=EAEA
8D66F796|Final Fantasy 5 (Translated)|387BB=42DC,4E45=42FC,422=EAEAEA
17444605|Final Fantasy 5 (Translated)|387BB=42DC,4E45=42FC,422=EAEAEA
45EF5AC8|Final Fantasy 6 (J)|B6D8=421B,B6D8=EAEA,B73F=421B,B73F=EAEA,568=42FC
EE801A54|Gemfire|1583=42DB,14C2=42D9,1155=42D9,1290=42D9,1539=42D9,1274=42D9,1217=42D9 
CD973979|Gradius 3|1C7=428A
6F5C5DC0|Gun Force (U)|201=42DC,3CA=42F2,512=42D1,58D=42D4,11DF=42DC,A4B4=42F8
